sample_index,source_index,jid,formula,nat,space_group_number,crystal_system,formation_energy_peratom,optb88vdw_bandgap,split
0,68954,JVASP-152345,ErRe2,12,194,hexagonal,-0.32909,0.0,train
1,61617,JVASP-130615,GeCl3,4,38,orthorhombic,-0.2821,0.0,train
2,23832,JVASP-52191,Li2CuSiO4,16,31,orthorhombic,-2.15157,0.0,train
3,71723,JVASP-149318,ThCo5,6,191,hexagonal,-0.18947,0.0,train
4,11019,JVASP-69796,NaMgBe2,4,99,tetragonal,0.35068,0.0,train
5,9338,JVASP-70225,Be2CrFe,4,99,tetragonal,-0.06965,0.0,train
6,81796,JVASP-168899,Ti5S8,13,6,monoclinic,-1.49354,0.0,train
7,71637,JVASP-149878,CeCoSi2,8,63,orthorhombic,-0.76025,0.0,train
8,5558,JVASP-62975,BN,4,194,hexagonal,-1.38442,4.46,train
9,37401,JVASP-38647,Ni3Sb,4,221,cubic,-0.08993,0.0,train
10,62116,JVASP-144226,Li6MnFe2O6,15,8,monoclinic,-1.71781,0.0,train
11,39555,JVASP-21258,LiSbO3,20,52,orthorhombic,-1.82902,2.305,train
12,90792,JVASP-186977,TaTi2Cd,4,123,tetragonal,-0.01624,0.0,train
13,85630,JVASP-173832,SmBiTe3,5,160,trigonal,-0.82551,1.166,train
14,28801,JVASP-34474,NaVF3,5,221,cubic,-2.64911,0.0,train
15,87367,JVASP-162054,Mg3Sc,4,221,cubic,-0.05667,0.0,train
16,74585,JVASP-145191,NbSiRu,18,46,orthorhombic,-0.58044,0.0,train
17,2068,JVASP-52566,TiGa2O5,16,15,monoclinic,-2.40821,2.243,train
18,2653,JVASP-91667,CoGe,8,12,monoclinic,0.44049,0.0,train
19,35175,JVASP-40587,LiCdAu2,4,225,cubic,-0.39489,0.0,train
20,12305,JVASP-94774,CaMg6Zn,8,38,orthorhombic,-0.02943,0.0,train
21,12756,JVASP-74293,ZrBe2Pd,4,216,cubic,-0.20596,0.0,train
22,82257,JVASP-169629,H,16,2,triclinic,0.33772,0.0,train
23,90174,JVASP-190775,SrCaAl4,6,216,cubic,-0.37679,0.0,train
24,71775,JVASP-133223,Co3Ni2Te3O16,24,8,monoclinic,-0.90977,0.0,train
25,29624,JVASP-9435,AlTlF4,12,15,monoclinic,-3.1763,4.671,train
26,65531,JVASP-135065,RbHS,3,38,orthorhombic,-0.6557,1.352,train
27,11507,JVASP-70723,NaCaBe2,4,99,tetragonal,0.40402,0.0,train
28,83562,JVASP-167911,Sr8Co3N8,19,12,monoclinic,-0.73656,0.0,train
29,11512,JVASP-93663,Cu2GeS3,6,44,orthorhombic,-0.37962,0.0,train
30,29137,JVASP-81079,Rb2HgTe,4,12,monoclinic,-0.79704,2.042,train
31,33677,JVASP-41365,GaFeRh2,4,225,cubic,-0.37418,0.0,train
32,13821,JVASP-1768,ScAgSe2,4,164,trigonal,-1.14235,0.765,train
33,18514,JVASP-104526,Rb2LaAuCl6,10,225,cubic,-1.7719,2.188,train
34,4968,JVASP-90563,Mg3Ti,8,59,orthorhombic,0.21611,0.0,train
35,60038,JVASP-125013,Ar3Co,4,221,cubic,1.33356,0.0,train
36,37676,JVASP-37969,ErLu3,8,194,hexagonal,-0.00092,0.0,train
37,30360,JVASP-30537,TiBi2O6,9,8,monoclinic,-1.60712,0.0,train
38,81419,JVASP-176787,Nd4Ge3Rh4,22,15,monoclinic,-0.90681,0.0,train
39,43722,JVASP-108860,Na3AsF6,10,225,cubic,-2.51583,3.922,train
40,59960,JVASP-142135,TbPaO4,12,141,tetragonal,-4.01267,2.853,train
41,91422,JVASP-190810,Al2Cu,3,225,cubic,-0.24347,0.0,train
42,58140,JVASP-124246,CuCl3,4,8,monoclinic,-0.23372,0.308,train
43,38039,JVASP-38466,Li3Ga,4,225,cubic,-0.24602,0.0,train
44,39371,JVASP-14499,PrCd2,3,191,hexagonal,-0.37961,0.0,train
45,62828,JVASP-140271,LiCrMo2O8,24,2,triclinic,-2.21016,1.148,train
46,36957,JVASP-57183,FeAsS,12,14,monoclinic,-0.51191,0.658,train
47,25193,JVASP-51352,Ag3SI,5,146,trigonal,-0.10062,0.591,train
48,30837,JVASP-57049,K6CuSi2O8,17,2,triclinic,-2.16588,0.607,train
49,84959,JVASP-167143,Li2Cu2F5,18,2,triclinic,-2.20164,0.0,train
50,78170,JVASP-164347,KCrF3,10,140,tetragonal,-2.67671,0.0,train
51,27575,JVASP-9513,VZnSiO5,16,2,triclinic,-2.385,0.0,train
52,53428,JVASP-119161,Na6Cd7S10,23,8,monoclinic,-0.89988,1.059,train
53,29013,JVASP-10661,Lu2MgSe4,14,227,cubic,-1.76505,1.569,train
54,40645,JVASP-18169,YTiSi,6,129,tetragonal,-0.6656,0.0,train
55,67669,JVASP-133750,BCl,4,2,triclinic,-0.25005,0.0,train
56,42998,JVASP-107909,Ce3Sm,4,139,tetragonal,0.01945,0.0,train
57,16072,JVASP-100648,MnPt2,3,164,trigonal,0.00518,0.0,train
58,62862,JVASP-139567,Na2Br,3,47,orthorhombic,-0.86756,0.0,train
59,20009,JVASP-104746,CeUN2,4,123,tetragonal,-1.60148,0.0,train
60,43852,JVASP-48066,Mn3O4F2,18,1,triclinic,-1.9891,0.0,train
61,70748,JVASP-148561,ReC,2,225,cubic,0.90652,0.0,train
62,72715,JVASP-152647,CeMgSn,12,62,orthorhombic,-0.48233,0.0,train
63,40977,JVASP-30708,AlMo3F15,38,11,monoclinic,-2.57555,0.604,train
64,71285,JVASP-154593,Ho5Ge3,16,193,hexagonal,-0.83598,0.0,train
65,44593,JVASP-109231,Na2GaAgBr6,10,225,cubic,-0.89471,0.0,train
66,5342,JVASP-66600,BaInSn,3,216,cubic,-0.05787,0.0,train
67,78016,JVASP-179012,CdAsPt2,4,99,tetragonal,-0.16089,0.0,train
68,38390,JVASP-30315,MnP4,30,14,monoclinic,-0.3149,0.0,train
69,91616,JVASP-192520,LaGaSi,3,156,trigonal,-0.74413,0.0,train
70,22209,JVASP-13092,BaC4O4,18,140,tetragonal,-1.24473,2.667,train
71,25293,JVASP-9737,Li3SbO4,16,13,monoclinic,-2.02763,3.213,train
72,80559,JVASP-170595,K4MgCu3F12,20,65,orthorhombic,-2.58941,0.0,train
73,45049,JVASP-109366,Sm3DyS4,8,47,orthorhombic,-2.16773,0.0,train
74,10646,JVASP-71485,LiBe2Ga,4,123,tetragonal,0.22225,0.0,train
75,73827,JVASP-147425,LiFe3O2F6,24,2,triclinic,-2.08018,0.0,train
76,15836,JVASP-3933,TmCl3,8,167,trigonal,-2.34018,4.707,train
77,31192,JVASP-35042,Re2N,6,194,hexagonal,-0.04159,0.0,train
78,60926,JVASP-138398,CO,4,129,tetragonal,-0.37795,4.569,train
79,33939,JVASP-39996,Ba2HgPb,4,225,cubic,-0.61143,0.0,train
80,80086,JVASP-177369,AcPm3,4,139,tetragonal,0.02787,0.0,train
81,28441,JVASP-1100,Sb2Se3,20,62,orthorhombic,-0.26843,0.875,train
82,83002,JVASP-120761,Dy2Ni12As7,21,174,hexagonal,-0.50256,0.0,train
83,85364,JVASP-163859,Li9Fe3O2F14,28,2,triclinic,-2.70834,0.0,train
84,60515,JVASP-134912,Ga2Te,3,65,orthorhombic,-0.01766,0.0,train
85,34155,JVASP-51574,Rb2CuCl3,24,62,orthorhombic,-1.55588,2.252,train
86,5730,JVASP-1765,LiMgAs,3,216,cubic,-0.82603,1.521,train
87,87008,JVASP-180707,La2Zn,3,139,tetragonal,-0.29283,0.0,train
88,70013,JVASP-152569,NbFeAs,12,62,orthorhombic,-0.44328,0.0,train
89,9473,JVASP-14799,TbFe2,6,227,cubic,-0.11085,0.0,train
90,92380,JVASP-191439,LiMg2Pt,4,225,cubic,-0.71564,0.0,train
91,5793,JVASP-12149,NbFeTe2,16,53,orthorhombic,-0.30197,0.0,train
92,23962,JVASP-56248,Dy3CuSiSe7,24,173,hexagonal,-1.36511,1.677,train
93,33967,JVASP-39540,ZnGaO3,5,221,cubic,-0.87468,0.0,train
94,7495,JVASP-86139,RbAuI3,10,12,monoclinic,-0.6945,0.611,train
95,17204,JVASP-2997,SrMg2Sb2,5,164,trigonal,-0.83997,1.068,train
96,79762,JVASP-180478,VAgO,3,187,hexagonal,-0.91355,0.0,train
97,67694,JVASP-139726,AsS,4,129,tetragonal,0.18263,0.0,train
98,5892,JVASP-68174,HfBeZn2,4,99,tetragonal,-0.03151,0.0,train
99,65777,JVASP-139095,SrHO,3,6,monoclinic,-1.32419,0.0,train
