rank,jid,formation_true,formation_pred,bandgap_true,bandgap_pred,formula,nat,space_group_number,crystal_system,screening_score,formation_abs_error,bandgap_abs_error,dft_meets_screen
1,JVASP-100524,-3.182219982147217,-3.7347376346588135,0.0,2.3532793521881104,NdTa2O6,9,123,tetragonal,3.381458282470703,0.5525176525115967,2.3532793521881104,False
2,JVASP-44669,-3.6725199222564697,-3.7203269004821777,2.8970000743865967,2.536754608154297,Lu6WO12,19,148,trigonal,3.183572292327881,0.04780697822570801,0.3602454662322998,True
3,JVASP-57571,-2.847650051116944,-3.1679184436798096,2.450000047683716,1.9532510042190552,K2MnF6,18,186,hexagonal,3.1211694478988647,0.32026839256286577,0.49674904346466064,True
4,JVASP-100149,-3.01259994506836,-3.4009552001953125,0.0,2.375070810317993,BaErO3,5,221,cubic,3.0258843898773193,0.3883552551269527,2.375070810317993,False
5,JVASP-172659,-3.195539951324463,-3.3077616691589355,2.7170000076293945,2.3194022178649902,MgTi2O5,16,36,orthorhombic,2.9883594512939453,0.11222171783447266,0.3975977897644043,True
6,JVASP-91799,-3.184079885482788,-3.266141176223755,5.151999950408936,1.675541639328003,LiNbF6,8,148,trigonal,2.941682815551758,0.0820612907409668,3.4764583110809335,False
7,JVASP-116456,-2.3602099418640137,-2.950571298599243,0.3079999983310699,1.9609817266464236,CaAuF3,5,221,cubic,2.9115530252456665,0.5903613567352295,1.6529817283153536,False
8,JVASP-169051,-2.666520118713379,-3.0125887393951416,0.0489999987185001,1.8626866340637207,K3W2O4F6,30,15,monoclinic,2.8752753734588623,0.3460686206817627,1.8136866353452206,False
9,JVASP-2289,-2.296999931335449,-2.8437047004699707,2.555000066757202,2.014054298400879,K2PtF6,9,164,trigonal,2.829650402069092,0.5467047691345215,0.5409457683563232,True
10,JVASP-121940,-2.763760089874268,-2.9553260803222656,2.622999906539917,1.8638607263565063,TmInO3,20,62,orthorhombic,2.819186806678772,0.1915659904479976,0.7591391801834106,True
11,JVASP-166067,-3.2020199298858643,-3.495662212371826,2.742000102996826,1.316642165184021,SmVO4,12,88,tetragonal,2.812304377555847,0.2936422824859619,1.4253579378128052,True
12,JVASP-49667,-2.5091099739074707,-2.8624556064605717,0.0,2.089528083801269,Mg2TiSbO6,20,11,monoclinic,2.7729275226593026,0.35334563255310103,2.089528083801269,False
13,JVASP-30603,-2.9923698902130127,-3.5503528118133545,3.5480000972747803,2.813911437988281,TaF5,6,71,orthorhombic,2.7364413738250737,0.5579829216003418,0.7340886592864995,False
14,JVASP-43490,-3.637929916381836,-3.561413288116455,3.813999891281128,2.853167057037353,ZrO2,24,61,orthorhombic,2.708246231079102,0.07651662826538086,0.9608328342437749,False
15,JVASP-104795,-3.2802700996398926,-3.3309333324432373,2.361999988555908,2.6318325996398926,Tb2SeO2,5,139,tetragonal,2.6991007328033447,0.05066323280334473,0.2698326110839844,True
16,JVASP-121749,-2.8552401065826416,-2.8084030151367188,2.344000101089477,1.8830182552337649,Li4MnF8,13,3,monoclinic,2.6914212703704834,0.04683709144592285,0.4609818458557122,True
17,JVASP-107187,-2.180959939956665,-3.1594417095184326,0.0,2.472509384155273,LiPrO3,5,221,cubic,2.6869323253631596,0.9784817695617676,2.472509384155273,False
18,JVASP-11478,-3.2362499237060547,-3.275834083557129,2.7739999294281006,2.6347250938415527,HoVO4,12,141,tetragonal,2.641108989715576,0.03958415985107422,0.13927483558654785,True
19,JVASP-50002,-3.760289907455444,-3.400854587554932,3.6549999713897705,2.7983527183532715,Ba4OF6,22,186,hexagonal,2.6025018692016606,0.3594353199005118,0.856647253036499,False
20,JVASP-101695,-3.965810060501098,-3.373451471328736,2.690999984741211,1.2204725742340088,SmPaO4,6,123,tetragonal,2.5939240455627446,0.5923585891723624,1.4705274105072021,True
